"","Sector","Company","sentiment_bins","mean_sentiments"
"1","Consumer Goods","Apple","Hold",0.6049125
"2","Technology","Microsoft","Hold",0.5612
"3","Services","Amazon","strong_buy",0.79735
"4","Technology","Alphabet","Hold",0.564825
"5","Technology","Facebook","Moderate_buy",0.6281
"6","Financial","Berkshire Hathaway A","Moderate_sell",0.4192625
"7","Financial","Berkshire Hathaway B","Moderate_buy",0.6769875
"8","Services","Alibaba","strong_buy",0.7982875
"9","Financial","JPMorgan Chase & Co.","Hold",0.4848375
"10","Technology","Tencent Holdings","Moderate_buy",0.6980875
"11","Financial","Visa","Hold",0.55605
"12","Healthcare","Johnson & Johnson","Moderate_buy",0.730025
"13","Services","Walmart","Moderate_buy",0.6992875
"14","Consumer Goods","Procter & Gamble","Hold",0.50455
"15","Consumer Goods","Samsung Electronics","Hold",0.5657875
"16","Consumer Goods","Nestle SA Reg","Moderate_sell",0.350225
"17","Financial","Bank of America","Hold",0.6039625
"18","Consumer Goods","Nestl<e9> SA","Hold",0.4925
"19","Financial","Mastercard","Hold",0.566175
"20","Materials","Exxon Mobil","Moderate_buy",0.661475
"21","Consumer Goods","Taiwan Semi","Hold",0.503425
"22","Services","Walt Disney","Moderate_buy",0.6236875
"23","Technology","AT&T","Hold",0.55795
"24","Services","UnitedHealth","Hold",0.5945875
"25","Financial","Industrial and Commercial Bank of China",NA,NA
"26","Healthcare","Roche Holding AG","Hold",0.5
"27","Consumer Goods","Intel","Hold",0.5928375
"28","Technology","Verizon","Hold",0.5532125
"29","Services","Home Depot","Moderate_buy",0.7058625
"30","Financial","Wells Fargo","Moderate_sell",0.440725
"31","Consumer Goods","Coca-Cola","Moderate_buy",0.64305
"32","Consumer Goods","LVMH Moet Hennessy Louis Vuitton SE","Hold",0.539775
"33","Healthcare","Merck & Company","Hold",0.4999875
"34","Utilities","Chevron","Hold",0.60045
"35","Healthcare","Roche Holding","Hold",0.4937125
"36","Healthcare","Pfizer","Hold",0.5385375
"37","Healthcare","Novartis","Moderate_sell",0.370325
"38","Financial","Ping An Insurance Company of China",NA,NA
"39","Consumer Goods","Boeing","Hold",0.487575
"40","Financial","China Construction Bank",NA,NA
"41","Services","Comcast","Moderate_sell",0.395575
"42","Consumer Goods","Toyota Motor","Moderate_sell",0.3734375
"43","Consumer Goods","Cisco Systems","Hold",0.5652875
"44","Consumer Goods","PepsiCo","Moderate_sell",0.384425
"45","Technology","Oracle","Moderate_sell",0.3437375
"46","Financial","Citigroup","Hold",0.5829375
"47","Technology","SAP AG","Hold",0.470625
"48","Consumer Goods","L'Oreal",NA,NA
"49","Services","China Mobile",NA,NA
"50","Technology","China Mobile","Moderate_sell",0.453425
"51","Financial","HSBC Holdings","Moderate_sell",0.385175
"52","Healthcare","Abbott Labs","Hold",0.5001625
"53","Technology","Adobe","Hold",0.4915125
"54","Healthcare","Medtronic","Hold",0.4993875
"55","Services","McDonald's","Hold",0.558525
"56","Consumer Goods","Nike","Hold",0.5830875
"57","Financial","Agricultural Bank of China",NA,NA
"58","Healthcare","Amgen","Moderate_buy",0.644875
"59","Services","Netflix","Hold",0.566675
"60","Materials","Total SA","Hold",0.5327
"61","Consumer Goods","Nvidia","Hold",0.5690375
"62","Services","Costco","Moderate_buy",0.7546875
"63","Materials","BHP Group",NA,NA
"64","Healthcare","AbbVie","strong_buy",0.8054
"65","Consumer Goods","Anheuser-Busch Inbev Sa","Moderate_sell",0.4251
"66","Consumer Goods","Philip Morris","Hold",0.5301
"67","Industrial Goods","United Technologies","Moderate_sell",0.456
"68","Technology","Accenture","Hold",0.499325
"69","Industrial Goods","Honeywell International","Moderate_sell",0.38065
"70","Healthcare","AstraZeneca","Hold",0.4621625
"71","Technology","Salesforce","Hold",0.5878625
"72","Technology","Paypal Holdings","Moderate_buy",0.7293875
"73","Healthcare","Thermo Fisher","Hold",0.48275
"74","Materials","BP","Moderate_buy",0.6430375
"75","Consumer Goods","Broadcom","Moderate_buy",0.6246
"76","Financial","China Merchants Bank Co",NA,NA
"77","Financial","AIA Group",NA,NA
"78","Services","Union Pacific","Moderate_sell",0.4083
"79","Financial","Bank of China",NA,NA
"80","Financial","AIA Group","Moderate_buy",0.625
"81","Materials","Royal Dutch Shell A",NA,NA
"82","Technology","International Business Machines","Moderate_sell",0.43115
"83","Healthcare","Sanofi",NA,NA
"84","Financial","Royal Bank Of Canada","Moderate_buy",0.6116625
"85","Healthcare","Sanofi-Aventis Sa","Hold",0.4802
"86","Industrial Goods","Airbus SE","Strong_sell",0.288875
"87","Utilities","NextEra Energy","Hold",0.48735
"88","Consumer Goods","Airbus Group SE","Moderate_sell",0.4369125
"89","Technology","ASML Holding",NA,NA
"90","Healthcare","Eli Lilly & Co","Hold",0.5555375
"91","Financial","Hdfc Bank",NA,NA
"92","Healthcare","GlaxoSmithKline","Moderate_sell",0.3834625
"93","Consumer Goods","Texas Instruments","Moderate_buy",0.7268
"94","Technology","Prosus",NA,NA
"95","Services","Linde","Moderate_sell",0.351225
"96","Industrial Goods","Lockheed Martin","Hold",0.51365
"97","Healthcare","Noble Vici Group",NA,NA
"98","Healthcare","Danaher","Moderate_sell",0.3460125
"99","Financial","Toronto Dominion Bank","Hold",0.5155875
"100","Industrial Goods","Siemens AG","Moderate_sell",0.40625
"101","Services","United Parcel","Hold",0.4758
"102","Materials","Rio Tinto",NA,NA
"103","Technology","Qualcomm","Moderate_buy",0.61365
"104","Healthcare","Novo Nordisk",NA,NA
"105","Services","Charter Communications","Hold",0.49305
"106","Services","Starbucks","Moderate_sell",0.350725
"107","Financial","Allianz","Moderate_sell",0.42545
"108","Industrial Goods","General Electric","Moderate_buy",0.60985
"109","Financial","American Express","Hold",0.5234625
"110","Services","CVS Health","Moderate_sell",0.4450625
"111","Industrial Goods","3M Company","Hold",0.5482125
"112","Financial","Commonwealth Bank of Australia","Moderate_sell",0.446425
"113","Consumer Goods","Diageo",NA,NA
"114","Consumer Goods","Diageo",NA,NA
"115","Services","American Tower","Moderate_buy",0.69125
"116","Materials","Gazprom PJSC","Hold",0.4809375
"117","Financial","US Bancorp","Hold",0.4855125
"118","Consumer Goods","Altria Group","Moderate_sell",0.4230125
"119","Healthcare","Bristol Myers","Hold",0.60655
"120","Services","Nippon Telegraph and Telephone",NA,NA
"121","Technology","Nippon Telegraph And Telephone","Hold",0.495
"122","Services","NTT DoCoMo",NA,NA
"123","Consumer Goods","British American Tobacco","Moderate_buy",0.662725
"124","Technology","NTT Docomo",NA,NA
"125","Services","Lowe's","Hold",0.5031625
"126","Healthcare","CSL",NA,NA
"127","Consumer Goods","Unilever",NA,NA
"128","Healthcare","Gilead Sciences","Moderate_buy",0.614475
"129","Technology","Fidelity National Info","Hold",0.5157375
"130","General","PetroChina Company",NA,NA
"131","Healthcare","CSL",NA,NA
"132","Technology","Keyence",NA,NA
"133","Services","SoftBank Group",NA,NA
"134","Financial","Morgan Stanley","Moderate_sell",0.325275
"135","Industrial Goods","Caterpillar","Moderate_sell",0.4213625
"136","Technology","Softbank","Hold",0.4957375
"137","Services","Booking Holdings","Hold",0.5412875
"138","Technology","Deutsche Telekom","Hold",0.5795125
"139","Technology","Fiserv","Hold",0.5975375
"140","Financial","Sberbank Rossii OAO","Moderate_sell",0.3725
"141","Financial","Goldman Sachs Group","Moderate_sell",0.4047375
"142","Consumer Goods","Sony","Strong_sell",0.3007375
"143","Consumer Goods","Herm<e8>s International",NA,NA
"144","Consumer Goods","Hermes International","Moderate_sell",0.375
"145","Materials","Enbridge","Moderate_buy",0.6804375
"146","Financial","Blackrock","Moderate_buy",0.6983375
"147","Services","Sony",NA,NA
"148","Healthcare","Stryker","Moderate_buy",0.7019875
"149","Technology","Meituan Dianping",NA,NA
"150","Materials","BHP Group","Hold",0.501875
"151","Consumer Goods","Mondelez International","Moderate_sell",0.4493375
"152","Services","Cigna","Moderate_buy",0.746375
"153","Services","TJX Companies","Moderate_buy",0.6407375
"154","Technology","Automatic Data Processing","Moderate_sell",0.4056375
"155","Services","Anthem","Hold",0.554875
"156","Financial","CME Group","Moderate_sell",0.41215
"157","Healthcare","Bayer","Moderate_sell",0.40125
"158","Consumer Goods","The Est<e9>e Lauder Companies","Moderate_sell",0.3624875
"159","Financial","BNP Paribas","Moderate_sell",0.36
"160","Healthcare","Becton Dickinson","Hold",0.4716625
"161","Financial","China Life Insurance Co",NA,NA
"162","Consumer Goods","Unilever","Moderate_sell",0.3268
"163","Financial","Mitsubishi UFJ Financial Group",NA,NA
"164","Consumer Goods","BASF SE","Moderate_sell",0.385
"165","Materials","Rio Tinto","Moderate_buy",0.67985
"166","Financial","Chubb","Hold",0.5148625
"167","Financial","Mitsubishi UFJ",NA,NA
"168","Healthcare","Intuitive Surgical","Moderate_buy",0.7470125
"169","Financial","Bank Of Nova Scotia","Hold",0.586975
"170","Utilities","Dominion Resources","Moderate_sell",0.3163625
"171","Services","KDDI",NA,NA
"172","Utilities","Rosneft Oil Co PJSC",NA,NA
"173","General","China Petroleum & Chemical",NA,NA
"174","Healthcare","EssilorLuxottica SA",NA,NA
"175","Technology","Intuit","Moderate_sell",0.371275
"176","Technology","T Mobile US","Moderate_sell",0.44095
"177","Financial","PNC Financial","Hold",0.4879875
"178",NA,"KDDI",NA,NA
"179","Consumer Goods","Ambev SA","Moderate_sell",0.4568
"180","Technology","SAFRAN SA",NA,NA
"181","Materials","Conocophillips","Moderate_buy",0.6596125
"182","Services","Canadian Railway","Moderate_sell",0.368375
"183","Utilities","Southern Co","Strong_sell",0.2648125
"184","Materials","CNOOC",NA,NA
"185","Financial","AXA SA","Moderate_sell",0.438925
"186","Services","S&P Global","Hold",0.462175
"187","Utilities","Duke Energy","Hold",0.6055
"188","Healthcare","Takeda Pharmaceutical Co",NA,NA
"189","Financial","Banco Santander SA","Hold",0.495
"190","Financial","Blackstone Group","Strong_sell",0.299175
"191","Services","Naspers",NA,NA
"192","Technology","VMware","Moderate_buy",0.71675
"193","Materials","Air Liquide","Hold",0.5
"194","Financial","Charles Schwab","Moderate_buy",0.676175
"195","Services","Target","Moderate_buy",0.6203
"196","Healthcare","Takeda Pharmaceutical Company",NA,NA
"197","Services","Naspers",NA,NA
"198","Industrial Goods","FAST RETAILING CO",NA,NA
"199","Utilities","Iberdrola",NA,NA
"200","Consumer Goods","Adidas","Moderate_sell",0.4571
"201","Materials","Equinor ASA","Hold",0.475675
"202","Financial","Industrial & Commercial Bank of China",NA,NA
"203","Materials","Oil company LUKOIL PJSC","Moderate_sell",0.375
"204","Healthcare","Allergan","Hold",0.5208375
"205","Industrial Goods","Raytheon","strong_buy",0.7708
"206","Materials","Novatek OAO",NA,NA
"207","Materials","Vale SA","Moderate_sell",0.3731875
"208","Healthcare","Boston Scientific","Moderate_sell",0.3337
"209","Consumer Goods","Daimler","Moderate_sell",0.35165
"210","Technology","Recruit Holdings Co",NA,NA
"211","Consumer Goods","Tesla","Moderate_sell",0.4514625
"212","Industrial Goods","Northrop","Hold",0.5942125
"213","Consumer Goods","Heineken",NA,NA
"214","Financial","Brookfield Asset Mng",NA,NA
"215","Consumer Goods","Colgate-Palmolive","Moderate_sell",0.355475
"216","Financial","Prologis","Hold",0.489825
"217","Financial","Westpac Banking","Moderate_sell",0.3590375
"218","Financial","National Australia Bank",NA,NA
"219","Materials","Enterprise Products Partners","Moderate_buy",0.6875875
"220","Healthcare","Zoetis","Moderate_sell",0.3191625
"221","Financial","Westpac Banking","Moderate_sell",0.3675
"222","Financial","Zurich Insurance Group",NA,NA
"223","Financial","Zurich Insurance Group AG",NA,NA
"224","Healthcare","Vertex Pharmaceuticals","Moderate_buy",0.6608625
"225","Consumer Goods","Reckitt Benckiser Group",NA,NA
"226","Consumer Goods","Volkswagen AG","Moderate_sell",0.4537125
"227","Industrial Goods","Illinois Tool Works","Hold",0.552775
"228","Services","CSX","Strong_sell",0.3001
"229","Technology","Crown Castle","Moderate_buy",0.61185
"230","Materials","Petroleo Brasileiro SA- Petrobras","Hold",0.5310125
"231","Financial","Marsh & Mclennan Companies","Moderate_sell",0.40055
"232","Technology","Global Payments","Moderate_buy",0.6557375
"233","Financial","Lloyds Banking","Hold",0.4765
"234","Healthcare","Biogen","Moderate_buy",0.61005
"235","Materials","Eni SPA","Hold",0.475275
"236","Consumer Goods","Sherwin-Williams Company","Moderate_buy",0.65245
"237","Consumer Goods","Ecolab","Moderate_sell",0.33015
"238","Consumer Goods","Bayerische Motoren Werke Aktiengesellschaft","Moderate_sell",0.321425
"239","Consumer Goods","Applied Materials","Moderate_buy",0.636075
"240","Technology","ServiceNow","Moderate_sell",0.4238875
"241","Consumer Goods","Danone SA",NA,NA
"242","Services","Walgreens Boots Alliance","Hold",0.557075
"243","Industrial Goods","Schneider Electric SE","Hold",0.475
"244","Technology","Vodafone","Moderate_sell",0.40505
"245","Financial","PT Bank Central Asia Tbk",NA,NA
"246","Industrial Goods","Deere","Hold",0.481975
"247","Services","America Movil SAB de CV",NA,NA
"248","Consumer Goods","Micron","strong_buy",0.7803125
"249","Consumer Goods","General Dynamics","Hold",0.5138875
"250","Financial","Intercontinental Exchange","Hold",0.586375
"251","Consumer Goods","Air Products and Chemicals","Moderate_buy",0.6703125
"252","Consumer Goods","General Motors","Moderate_sell",0.3838375
"253","Services","Oriental Land Co",NA,NA
"254","Healthcare","Edwards Lifesciences","Hold",0.5301625
