"","Ticker","Company","Market_capital","Market_share","Sector","Analyst_advice","News_Sentiment","News_Score","Media_Buzz","Media_Score","HedgeFund_Sentiment","HedgeFund_Score","Investor_Sentiment","Investor_Score"
"1","AAPL","Apple",1187463907500,"Mega","Consumer Goods","Moderate Buy","ModerateBuy",0.7777,"ModerateSell",0.28535,"Negative",0.3566,"StrongBuy",1
"2","MSFT","Microsoft",1154849257800,"Mega","Technology","Strong Buy","ModerateBuy",0.8,"ModerateSell",0.2961,"Negative",0.1487,"StrongBuy",1
"3","AMZN","Amazon",892831237600,"Mega","Services","Strong Buy","StrongBuy",0.9062,"Hold",0.4678,"Positive",0.8154,"StrongBuy",1
"4","GOOGL","Alphabet",838763302100,"Mega","Technology","Strong Buy","Hold",0.5882,"ModerateSell",0.2734,"Negative",0.3977,"StrongBuy",1
"5","FB","Facebook",575172050800,"Mega","Technology","Strong Buy","ModerateSell",0.3571,"ModerateSell",0.38,"Positive",0.7753,"StrongBuy",1
"6","BRK.A","Berkshire Hathaway A",538799567900,"Mega","Financial","Moderate Buy","Hold",0.5,"ModerateSell",0.27775,"Negative",0.2493,"ModerateBuy",0.65
"7","BRK.B","Berkshire Hathaway B",538726026000,"Mega","Financial","Moderate Buy","Hold",0.5,"ModerateSell",0.37035,"Positive",0.8976,"StrongBuy",0.94
"8","BABA","Alibaba",5.23574e+11,"Mega","Services","Strong Buy","StrongBuy",1,"ModerateSell",0.29895,"Positive",0.8942,"StrongBuy",1
"9","JPM","JPMorgan Chase & Co.",413263922400,"Mega","Financial","Moderate Buy","StrongBuy",1,"ModerateSell",0.25665,"Negative",0.1627,"Hold",0.52
"10","TCEHY","Tencent Holdings",399412135500,"Mega","Technology","Strong Buy","StrongBuy",1,"ModerateSell",0.20775,"Positive",0.8946,"ModerateBuy",0.69
"11","V","Visa",397735291300,"Mega","Financial","Strong Buy","StrongBuy",1,"ModerateSell",0.3333,"Negative",0.2509,"ModerateBuy",0.64
"12","JNJ","Johnson & Johnson",361855806300,"Mega","Healthcare","Moderate Buy","ModerateBuy",0.8,"Hold",0.5651,"Positive",0.775,"ModerateBuy",0.78
"13","WMT","Walmart",338725305200,"Mega","Services","Moderate Buy","ModerateBuy",0.8571,"ModerateSell",0.37385,"Neutral",0.5662,"StrongBuy",1
"14","PG","Procter & Gamble",304394448600,"Mega","Consumer Goods","Moderate Buy","StrongBuy",1,"ModerateSell",0.2133,"Negative",0.1649,"ModerateBuy",0.64
"15","SSNLF","Samsung Electronics",300236014000,"Mega","Consumer Goods","Moderate Buy","StrongBuy",1,"ModerateSell",0.26315,"Neutral",0.5,"Hold",0.5
"16","NSRGY","Nestle SA Reg",300126750000,"Mega","Consumer Goods","Moderate Sell","Hold",0.5,"StrongSell",0,"Negative",0.3409,"Hold",0.56
"17","BAC","Bank of America",299717065200,"Mega","Financial","Moderate Buy","StrongBuy",1,"ModerateSell",0.35035,"Negative",0.0855,"StrongBuy",0.98
"18","NSRGF","Nestlé SA",298971750000,"Mega","Consumer Goods","Moderate Buy","Hold",0.5,"Hold",0.5,"Neutral",0.5,"Hold",0.47
"19","MA","Mastercard",294699343500,"Mega","Financial","Strong Buy","StrongBuy",1,"Hold",0.4615,"Negative",0.2232,"Hold",0.58
"20","XOM","Exxon Mobil",288265524300,"Mega","Materials","Hold","Hold",0.6,"ModerateSell",0.275,"Positive",0.8509,"StrongBuy",0.92
"21","TSM","Taiwan Semi",275328987200,"Mega","Consumer Goods","Strong Buy","Hold",0.5,"StrongSell",0.1111,"Positive",0.6126,"ModerateBuy",0.79
"22","DIS","Walt Disney",273207792000,"Mega","Services","Strong Buy","StrongBuy",1,"ModerateSell",0.33765,"Negative",0.1571,"StrongBuy",1
"23","T","AT&T",273060900000,"Mega","Technology","Moderate Buy","StrongBuy",1,"ModerateSell",0.2489,"Positive",0.9829,"StrongSell",0
"24","UNH","UnitedHealth",265153036000,"Mega","Services","Moderate Buy","StrongBuy",1,"ModerateSell",0.30765,"Positive",0.8807,"StrongSell",0.19
"25","IDCBF","Industrial and Commercial Bank of China",263740440000,"Mega","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"26","RHHVF","Roche Holding AG",262819594600,"Mega","Healthcare","Moderate Buy","Hold",0.5,"Hold",0.5,"Neutral",0.5,"Hold",0.5
"27","INTC","Intel",252517500000,"Mega","Consumer Goods","Hold","Hold",0.6,"Hold",0.47165,"Neutral",0.4397,"StrongBuy",0.86
"28","VZ","Verizon",249139387200,"Mega","Technology","Hold","StrongBuy",1,"ModerateSell",0.23805,"Neutral",0.4948,"Hold",0.48
"29","HD","Home Depot",240538923300,"Mega","Services","Moderate Buy","ModerateBuy",0.6666,"ModerateSell",0.23485,"Positive",0.922,"StrongBuy",1
"30","WFC","Wells Fargo",230330945600,"Mega","Financial","Hold","StrongBuy",1,"Hold",0.4583,"Negative",0.0646,"ModerateSell",0.24
"31","KO","Coca-Cola",228791766000,"Mega","Consumer Goods","Strong Buy","StrongBuy",1,"ModerateSell",0.2588,"Negative",0.3134,"StrongBuy",1
"32","LVMUY","LVMH Moet Hennessy Louis Vuitton SE",224795339900,"Mega","Consumer Goods","Moderate Buy","StrongBuy",1,"StrongSell",0.1791,"Neutral",0.5,"Hold",0.48
"33","MRK","Merck & Company",221958536400,"Mega","Healthcare","Strong Buy","Hold",0.5,"Hold",0.45095,"Negative",0.049,"StrongBuy",1
"34","CVX","Chevron",221477603100,"Mega","Utilities","Strong Buy","Hold",0.5,"ModerateSell",0.3571,"Positive",0.8447,"ModerateBuy",0.7
"35","RHHBY","Roche Holding",214776659300,"Mega","Healthcare",NA,"Hold",0.5,"ModerateSell",0.29505,"Neutral",0.5798,"ModerateBuy",0.6
"36","PFE","Pfizer",213174302400,"Mega","Healthcare","Moderate Buy","StrongBuy",1,"ModerateSell",0.33845,"Positive",0.7857,"StrongSell",0.03
"37","NVS","Novartis",211175016000,"Mega","Healthcare","Moderate Buy","Hold",0.5,"ModerateSell",0.25,"Negative",0.1913,"Hold",0.54
"38","PIAIF","Ping An Insurance Company of China",207192099000,"Mega","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.51
"39","BA","Boeing",206082808400,"Mega","Consumer Goods","Moderate Buy","Hold",0.5,"StrongSell",0.162,"Positive",0.7883,"Hold",0.5
"40","CICHF","China Construction Bank",202508910000,"Mega","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"41","CMCSA","Comcast",200849387500,"Mega","Services","Strong Buy","Hold",0.5,"ModerateSell",0.2549,"Negative",0.1474,"ModerateBuy",0.68
"42","TM","Toyota Motor",195528453400,"Large","Consumer Goods","Moderate Sell","Hold",0.5,"ModerateSell",0.21275,"Negative",0.321,"Hold",0.46
"43","CSCO","Cisco Systems",192216800600,"Large","Consumer Goods","Moderate Buy","StrongBuy",1,"StrongSell",0.10675,"Negative",0.1544,"StrongBuy",1
"44","PEP","PepsiCo",189405426900,"Large","Consumer Goods","Moderate Buy","Hold",0.5,"Hold",0.44,"Negative",0.0977,"Hold",0.5
"45","ORCL","Oracle",184280672800,"Large","Technology","Hold","Hold",0.5,"ModerateSell",0.20775,"Negative",0.1672,"Hold",0.5
"46","C","Citigroup",164001232800,"Large","Financial","Strong Buy","StrongBuy",1,"ModerateSell",0.28785,"Negative",0.1539,"StrongBuy",0.89
"47","SAP","SAP AG",162269920000,"Large","Technology","Strong Buy","Hold",0.5,"ModerateSell",0.2857,"Positive",0.7168,"ModerateSell",0.38
"48","LRLCY","L'Oreal",158997690000,"Large","Consumer Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"49","CHLKF","China Mobile",155613800000,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"50","CHL","China Mobile",154508123000,"Large","Technology",NA,"Hold",0.5,"Hold",0.5,"Negative",0.3137,"Hold",0.5
"51","HSBC","HSBC Holdings",151306898400,"Large","Financial","Hold","Hold",0.5,"ModerateSell",0.2727,"Negative",0.168,"ModerateBuy",0.6
